time(s),keff(-),power(W),flux0,flux1(m-2s-1),TFuel_Max,Avg,Min,TCladding_Max,Avg,Min,TCoolant_Max,Avg,Min(K)

200.00001,1.00346,1.0056e+07,4.9145e+06,5.1419e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.000022,1.00346,1.0122e+07,4.9467e+06,5.1755e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0000364,1.00346,1.0199e+07,4.984e+06,5.2146e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0000537,1.00346,1.0287e+07,5.0271e+06,5.2597e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0000737,1.00346,1.0384e+07,5.0748e+06,5.3096e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0000947,1.00346,1.0482e+07,5.1227e+06,5.3597e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.000117,1.00346,1.0581e+07,5.171e+06,5.4102e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0001407,1.00346,1.0681e+07,5.2196e+06,5.461e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0001659,1.00346,1.0781e+07,5.2684e+06,5.5122e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0001929,1.00346,1.0881e+07,5.3176e+06,5.5636e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0002217,1.00346,1.0982e+07,5.367e+06,5.6153e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0002528,1.00346,1.1084e+07,5.4166e+06,5.6672e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0002864,1.00346,1.1186e+07,5.4664e+06,5.7193e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.000323,1.00346,1.1288e+07,5.5163e+06,5.7715e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.000363,1.00346,1.139e+07,5.5664e+06,5.8239e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0004071,1.00346,1.1493e+07,5.6165e+06,5.8763e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0004561,1.00346,1.1595e+07,5.6665e+06,5.9286e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0005112,1.00346,1.1697e+07,5.7163e+06,5.9808e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0005738,1.00346,1.1798e+07,5.7658e+06,6.0326e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.000646,1.00346,1.1899e+07,5.8148e+06,6.0838e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0007311,1.00346,1.1997e+07,5.863e+06,6.1342e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0008332,1.00346,1.2093e+07,5.9098e+06,6.1832e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
200.0009556,1.00346,1.2183e+07,5.9536e+06,6.229e+06,1228,800.49,600.95,713.6,647.53,600.18,685.92,628.47,600.02
